"Temperature (C)","Pressure (MPa)","Density (kg/m3)","Volume (m3/kg)","Internal Energy (kJ/kg)","Enthalpy (kJ/kg)","Entropy (J/g*K)","Cv (J/g*K)","Cp (J/g*K)","Sound Spd. (m/s)","Joule-Thomson (K/MPa)","Viscosity (Pa*s)","Therm. Cond. (W/m*K)",Phase,"Surf. Tension (N/m)","Vapor Pressure (Mpa)","h_fg (kJ/kg)"
77.01,0.101325,973.631229551,0.00102708291358,322.40619048,322.510259656,1.03986846965,3.88851845858,4.19457931218,1554.92641812,-0.191317336727,0.00036802667801,0.668136764667,liquid,0.0632186154914,0.0419581426015,2315.53383623
78.01,0.101325,973.020652269,0.00102772741531,326.601058027,326.705192507,1.05183144097,3.88327842787,4.19528923265,1554.79746766,-0.19076403497,0.00036335236143,0.668781582009,liquid,0.0630365761355,0.0437208985075,2313.020021085
79.01,0.101325,972.404953298,0.00102837814288,330.796643428,330.900843843,1.0637624368,3.87803492827,4.19601631865,1554.63119259,-0.190209735182,0.00035877890573,0.669409621131,liquid,0.0628540445704,0.0455455090542,2310.501527409
80.01,0.101325,971.784165148,0.00102903508399,334.992963961,335.097230941,1.07566168745,3.87278857621,4.19676079557,1554.42798862,-0.189654346877,0.00035430342905,0.670021101813,liquid,0.0626710223202,0.0474336759751,2307.978271666
81.01,0.101325,971.158319364,0.00102969822743,339.190037135,339.294371308,1.08752942195,3.86753997646,4.19752289426,1554.1882429,-0.189097780423,0.00034992315251,0.670616242693,liquid,0.0624875109155,0.0493871329033,2305.450169494
82.01,0.101325,970.527446537,0.00103036756309,343.387880689,343.492282682,1.09936586804,3.86228972214,4.19830285059,1553.9123342,-0.188539946998,0.00034563539563,0.67119526103,liquid,0.062303511894,0.0514076456315,2302.917135762
83.01,0.101325,969.891576336,0.00103104308193,347.586512601,347.690983042,1.11117125223,3.85703839468,4.19910090503,1553.60063306,-0.187980758548,0.00034143757216,0.671758372477,liquid,0.0621190267997,0.053497012273,2300.379084474
84.01,0.101325,969.250737521,0.00103172477594,351.785951094,351.890490606,1.12294579976,3.85178656385,4.19991730222,1553.25350198,-0.187420127752,0.00033732718604,0.672305790877,liquid,0.0619340571837,0.0556570635537,2297.835928876
85.01,0.101325,968.604957964,0.00103241263817,355.986214633,356.090823843,1.13468973473,3.84653478773,4.20075229062,1552.87129557,-0.186857967974,0.00033330182758,0.672837728064,liquid,0.0617486046038,0.0578896629559,2295.287581373
86.01,0.101325,967.954264673,0.00103310666268,360.187321936,360.292001469,1.14640328,3.84128361276,4.20160612214,1552.45436069,-0.18629419323,0.0003293591698,0.673354393686,liquid,0.0615626706247,0.0601967069734,2292.733953566
87.01,0.101325,967.298683802,0.00103380684451,364.389291975,364.494042453,1.15808665733,3.83603357375,4.20247905189,1552.00303664,-0.185728718148,0.00032549696503,0.673855995034,liquid,0.0613762568183,0.0625801252891,2290.174956246
88.01,0.101325,966.638240674,0.00103451317972,368.592143977,368.696966025,1.16974008731,3.83078519394,4.2033713378,1551.51765527,-0.185161457927,0.00032171304159,0.674342736887,liquid,0.0611893647633,0.0650418809678,2287.610499386
89.01,0.101325,965.972959795,0.00103522566534,372.795897427,372.900791668,1.18136378944,3.82553898506,4.20428324046,1550.99854115,-0.184592328299,0.00031800530069,0.674814821368,liquid,0.0610019960456,0.0675839706514,2285.040492176
90.01,0.101325,965.302864871,0.00103594429934,377.000572076,377.105539132,1.19295798211,3.82029544733,4.2052150228,1550.44601172,-0.184021245496,0.00031437171345,0.675272447811,liquid,0.0608141522582,0.0702084247993,2282.464842982
